Interval=	0.04 s		
ExcelDateTime=	4.23E+04	45:38.2	
TimeFormat=	StartOfBlock		
DateFormat=			
ChannelTitle=	BP	ECG	Integrated MSNA
Range=	5.000 V	100.00 mV	2.000 V
UnitName=	mmHg	*	*
TopValue=	500	*	*
BottomValue=	-500	*	*
290.56	75.0043	-0.1755469	-0.02947812
290.6	72.56875	-0.2585156	-0.02149844
290.64	70.27969	-0.3282813	-0.02068906
290.68	68.75039	0.4542969	-0.0298125
290.72	67.53984	-0.3825	-0.02447344
290.76	66.28633	-0.3120312	-0.03587188
290.8	65.43164	-0.2788281	-0.04262656
290.84	63.62578	-0.2253125	-0.05235156
290.88	69.02852	-0.08171875	-0.04593594
290.92	104.7832	-0.02234375	-0.03866406
290.96	117.2957	-0.2244531	-0.04366406
291	96.9457	-0.3485156	-0.04075469
291.04	86.81211	-0.3546094	-0.04216406
291.08	85.12773	-0.3298438	-0.03596875
291.12	83.83437	-0.3008594	-0.02762188
291.16	78.15117	-0.276875	-0.02547812
291.2	76.17031	-0.2817969	-0.01905938
291.24	78.15586	-0.2725781	-0.032775
291.28	79.09531	-0.2554688	-0.04501563
291.32	76.51485	-0.1735937	-0.04544688
291.36	73.46914	-0.2453125	-0.0244875
291.4	71.6125	-0.3101563	-0.018925
291.44	69.93008	0.4721875	-0.02792344
291.48	68.55273	-0.3378125	-0.02661563
291.52	67.58125	-0.2703125	-0.03098438
291.56	66.52071	-0.2307031	-0.03435
291.6	64.63672	-0.1786719	-0.0392875
291.64	69.10117	-0.04367188	-0.03698594
291.68	103.3531	0.03117188	-0.03915
291.72	118.8094	-0.1724219	-0.02205156
291.76	99.07695	-0.3038281	-0.01381094
291.8	87.97695	-0.3079688	-0.03704375
291.84	86.24922	-0.2907031	-0.038075
291.88	85.24023	-0.2600781	-0.03845156
291.92	79.4789	-0.2425781	-0.04739219
291.96	77.0414	-0.2451562	-0.02511875
292	78.48242	-0.2494531	-0.004203125
292.04	79.79883	-0.2578906	-0.01689219
292.08	77.16953	-0.2496875	-0.01785938
292.12	73.85039	-0.1616406	-0.02014688
292.16	71.87422	-0.2135156	-0.0419
292.2	70.2207	-0.2944531	-0.04245156
292.24	68.6918	0.509375	-0.02072656
292.28	67.59102	-0.3027344	-0.03260781
292.32	66.2375	-0.2617188	-0.03829219
292.36	65.3168	-0.2251563	-0.06108437
292.4	63.7207	-0.1725781	-0.06243438
292.44	70.36836	-0.034375	-0.04734063
292.48	108.1539	0.06664063	-0.02742188
292.52	119.9344	-0.1182812	-0.01299063
292.56	99.46133	-0.2672656	-0.02832656
292.6	89.23594	-0.2732031	-0.04491719
292.64	87.88164	-0.2527344	-0.06851406
292.68	87.47617	-0.2297656	-0.05193281
292.72	81.85508	-0.2141406	-0.06336406
292.76	77.91484	-0.2172656	-0.06356406
292.8	78.68633	-0.2215625	-0.06474844
292.84	79.82188	-0.2264062	-0.05167031
292.88	78.08789	-0.2000781	-0.06051094
292.92	75.20937	-0.1124219	-0.05290313
292.96	72.67031	-0.2171875	-0.05379531
293	70.74844	-0.2599219	-0.06542031
293.04	69.1418	0.5414062	-0.0591375
293.08	67.8793	-0.3210938	-0.070075
293.12	66.37734	-0.2490625	-0.06273125
293.16	65.13985	-0.2196094	-0.04711875
293.2	63.40469	-0.169375	-0.06374531
293.24	73.04765	-0.02210937	-0.0616875
293.28	111.9898	0.01148437	-0.06237656
293.32	115.7031	-0.2130469	-0.06515
293.36	96.32031	-0.3185156	-0.04832812
293.4	91.54922	-0.3185937	-0.00369375
293.44	92.6168	-0.2871094	0.01912031
293.48	92.49805	-0.2570312	0.07432031
293.52	92.54414	-0.2444531	0.08336562
293.56	92.62813	-0.2433594	0.1025047
293.6	92.56836	-0.2433594	0.1024531
