Interval=	0.04 s
ExcelDateTime=	4.3787678749791849e+04	11/18/19 16:17:23.982016
TimeFormat=	StartOfFile
DateFormat=	
ChannelTitle=	Fino. BP	ECG	Int MSNA Iowa
Range=	10.000 V	100.00 mV	10.000 V
UnitName=	mmHg	*	*
TopValue=	1000.00	*	*
BottomValue=	-1000.00	*	*
7525.609094	64.12102	-1.869922	0.9734922
7525.649094	63.39432	-1.876367	0.9564687
7525.689094	62.91373	-1.867188	0.9522343
7525.729094	62.64236	-1.802734	0.9544375
7525.769094	72.94367	-1.714844	0.9500391
7525.809094	96.17561	-1.608398	0.9490547
7525.849094	101.5424	-1.697852	0.9479219
7525.889094	99.21272	-1.86875	0.9973828
7525.929094	93.60098	-1.876563	1.018664
7525.969094	90.11131	-1.846484	1.050203
7526.009094	86.2523	-1.831055	1.053422
7526.049094	80.17007	-1.842773	1.02175
7526.089094	78.86561	-1.853711	1.006891
7526.129094	80.33037	-1.833984	0.9776328
7526.169094	81.57963	-1.810547	0.9993828
7526.209094	78.90643	-1.797852	0.9887578
7526.249094	75.9836	-1.724023	0.9771016
7526.289094	72.03687	-1.820117	1.011133
7526.329094	68.93627	-1.839844	1.016391
7526.369094	67.41277	-1.336328	0.995164
7526.409094	66.21722	-1.351172	0.98125
7526.449094	66.12387	-1.885352	0.9686485
7526.489094	65.38194	-1.892969	0.9614453
7526.529094	64.2633	-1.85957	0.9707109
7526.569094	63.12857	-1.822266	0.9633203
7526.609094	69.20062	-1.792773	0.9596172
7526.649094	93.53051	-1.70625	0.9686015
7526.689094	106.2543	-1.62832	0.9912578
7526.729094	104.0558	-1.760352	1.031422
7526.769094	99.09002	-1.837109	1.026172
7526.809094	96.14074	-1.866797	1.013117
7526.849094	94.50209	-1.863477	0.9997422
7526.889094	87.26367	-1.851758	0.9724141
7526.929094	83.59254	-1.829492	0.9360547
7526.969094	84.40172	-1.814844	0.9412344
7527.009094	84.48392	-1.83125	0.9478047
7527.049094	82.84654	-1.800781	0.9346953
7527.089094	79.72305	-1.711328	0.9429453
7527.129094	76.41928	-1.799414	0.954375
7527.169094	73.04816	-1.827148	0.9525859
7527.209094	70.71548	-1.216797	0.953875
7527.249094	69.50027	-1.488086	0.9623047
7527.289094	68.72894	-1.887695	0.9886015
7527.329094	68.411	-1.864453	1.002539
7527.369094	66.75133	-1.846484	1.024016
7527.409094	65.91662	-1.84375	0.9975781
7527.449094	75.22492	-1.804883	0.9705782
7527.489094	101.5312	-1.672656	0.9827812
7527.529094	108.6402	-1.59707	0.9750703
7527.569094	106.2686	-1.760156	0.9961562
7527.609094	101.7937	-1.865039	0.9831172
7527.649094	99.56975	-1.876367	0.9835703
7527.689094	96.18119	-1.854688	0.9583672
7527.729094	88.64481	-1.810742	0.9804765
7527.769094	85.30209	-1.813672	0.9798906
7527.809094	85.5623	-1.832813	0.9585
7527.849094	85.57293	-1.795898	0.9656953
7527.889094	83.22318	-1.700586	0.9436172
7527.929094	79.5208	-1.783594	0.9252891
7527.969094	76.44131	-1.828516	0.9573438
7528.009094	72.92966	-1.277539	0.9984141
7528.049094	70.83719	-1.47832	0.9689531
7528.089094	69.56523	-1.861328	0.9421875
7528.129094	68.68828	-1.849414	0.9618437
7528.169094	67.56844	-1.848242	0.9455312
7528.209094	66.76582	-1.834766	0.9612187
7528.249094	75.5856	-1.786328	0.974164
7528.289094	101.1172	-1.645508	1.005687
7528.329094	109.5062	-1.586523	0.9843359
7528.369094	107.0808	-1.782227	0.9635547
7528.409094	102.2715	-1.861523	0.9578047
7528.449094	100.0749	-1.875	0.9790938
7528.489094	96.4398	-1.835742	0.9846484
7528.529094	88.97793	-1.80625	0.9927578
7528.569094	86.18111	-1.808203	0.9685469
7528.609094	86.80713	-1.825	0.9243828
